Year,Dis Mag Scale,Dis Mag Value,Country,Longitude,Latitude,Disaster Type
1954.0,2,47350.38030731904,0,1992,1555,2
1954.0,1,47350.38030731904,138,2376,1242,12
1954.0,0,47350.38030731904,10,2376,1242,10
1954.0,0,47350.38030731904,10,2376,1242,10
1954.0,1,249.0,34,2376,1242,12
1954.0,0,47350.38030731904,40,2376,1242,5
1954.0,0,47350.38030731904,40,2376,1242,5
1954.0,0,47350.38030731904,41,2376,1242,10
1954.0,0,47350.38030731904,41,2376,1242,10
1954.0,0,47350.38030731904,58,2376,1242,5
1954.0,2,7.0,76,1425,1793,2
1954.0,0,47350.38030731904,84,2376,1242,10
1954.0,1,249.0,84,2376,1242,12
1954.0,0,47350.38030731904,90,2376,1242,13
1954.0,0,47350.38030731904,89,2376,1242,10
1955.0,1,47350.38030731904,89,2376,1242,12
1955.0,1,47350.38030731904,5,2376,1242,12
1955.0,0,47350.38030731904,9,2376,1242,5
1955.0,1,47350.38030731904,19,2376,1242,12
1955.0,1,47350.38030731904,16,2376,1242,12
1955.0,0,47350.38030731904,34,2376,1242,11
1955.0,2,8.0,40,598,1260,2
1955.0,2,6.0,58,1526,1335,2
1955.0,0,47350.38030731904,90,2376,1242,10
1955.0,1,47350.38030731904,89,2376,1242,12
1956.0,2,8.0,76,1468,1599,2
1956.0,2,8.0,0,2009,1491,2
1956.0,0,47350.38030731904,0,2376,1242,5
1956.0,0,47350.38030731904,18,2376,1242,5
1956.0,0,47350.38030731904,26,2376,1242,10
1956.0,0,47350.38030731904,26,2376,1242,10
1956.0,1,47350.38030731904,40,2376,1242,12
1956.0,0,47350.38030731904,40,2376,1242,5
1956.0,2,47350.38030731904,187,124,1625,2
1956.0,1,47350.38030731904,78,2376,1242,12
1956.0,1,47350.38030731904,90,2376,1242,12
1956.0,2,6.0,89,2052,975,2
1956.0,0,47350.38030731904,89,2376,1242,10
1956.0,1,47350.38030731904,89,2376,1242,12
1957.0,0,47350.38030731904,26,2376,1242,5
1957.0,0,47350.38030731904,40,2376,1242,5
1957.0,0,47350.38030731904,187,2376,1242,5
1957.0,1,47350.38030731904,86,2376,1242,12
1958.0,0,47350.38030731904,7,2376,1242,5
1958.0,1,47350.38030731904,15,2376,1242,12
1958.0,1,47350.38030731904,15,2376,1242,12
1958.0,2,47350.38030731904,39,2376,1242,2
1958.0,1,47350.38030731904,64,2376,1242,12
1958.0,0,47350.38030731904,66,2376,1242,5
1958.0,2,7.0,90,792,479,2
1958.0,0,47350.38030731904,89,2376,1242,10
1958.0,4,47350.38030731904,89,2376,1242,4
1959.0,0,47350.38030731904,40,2376,1242,5
1959.0,1,47350.38030731904,26,2376,1242,12
1959.0,0,47350.38030731904,26,2376,1242,5
1959.0,1,47350.38030731904,34,2376,1242,12
1959.0,1,47350.38030731904,40,2376,1242,12
1959.0,1,47350.38030731904,40,2376,1242,12
1959.0,0,47350.38030731904,40,2376,1242,5
1959.0,0,47350.38030731904,41,2376,1242,5
1959.0,1,47350.38030731904,86,2376,1242,12
1959.0,0,47350.38030731904,84,2376,1242,5
1960.0,2,10.0,39,312,320,2
1960.0,1,47350.38030731904,5,2376,1242,12
1960.0,1,47350.38030731904,138,2376,1242,12
1960.0,1,47350.38030731904,6,2376,1242,12
1960.0,1,47350.38030731904,15,2376,1242,12
1960.0,1,47350.38030731904,15,2376,1242,12
1960.0,0,47350.38030731904,15,2376,1242,5
1960.0,2,6.0,2,1693,1555,2
1960.0,1,47350.38030731904,86,2376,1242,12
1960.0,0,47350.38030731904,86,2376,1242,1
1960.0,0,47350.38030731904,86,2376,1242,5
1961.0,1,47350.38030731904,15,2376,1242,12
1961.0,1,47350.38030731904,15,2376,1242,12
1961.0,1,47350.38030731904,15,2376,1242,12
1961.0,1,47350.38030731904,19,2376,1242,12
1961.0,0,47350.38030731904,34,2376,1242,1
1961.0,2,7.0,63,1687,558,2
1961.0,0,47350.38030731904,66,2376,1242,10
1961.0,1,47350.38030731904,76,2376,1242,12
1961.0,1,47350.38030731904,86,2376,1242,12
1961.0,0,47350.38030731904,86,2376,1242,5
1961.0,1,47350.38030731904,85,2376,1242,12
1961.0,4,47350.38030731904,89,2376,1242,4
1962.0,2,6.0,1,1362,1935,2
1962.0,1,47350.38030731904,34,2376,1242,12
1962.0,2,7.0,41,353,2157,2
1962.0,0,47350.38030731904,41,2376,1242,5
1962.0,1,47350.38030731904,74,2376,1242,12
