Classification Key,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,OFDA/BHA Response,Appeal,Declaration,Magnitude,Start Year,Start Month,End Year,End Month,Total Deaths,No. Injured,No. Affected,Total Affected,CPI,Entry Year,Entry Month
-0.875,-3.0,2,1.0,-3.5,-3.5,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,33.0,0.0,0.0,0.0,-1.0584246937633903,-0.8333333333333334,0.0
-1.125,-3.0,2,0.14285714285714285,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,1.0,0.0,-0.47612484494618534,-0.19645472061657032,-1.0584246937633903,-0.8333333333333334,0.0
-1.0,-3.0,2,-1.5714285714285714,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.26666666666666666,0.0,-0.46840661061758404,-0.19052023121387282,-1.0584246937633903,-0.8333333333333334,0.0
-1.0,-3.0,2,-1.5714285714285714,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-0.6,14.533333333333333,0.0,-0.3692724060593151,-0.11429672447013488,-1.0584246937633903,-0.6666666666666666,-0.16666666666666666
-1.0,-3.0,2,-1.5714285714285714,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,1.0666666666666667,0.0,-0.3892195311423237,-0.12963391136801541,-1.0584246937633903,-0.8333333333333334,0.0
-1.125,-3.0,2,0.14285714285714285,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.13333333333333333,0.0,-0.47913194923005603,-0.19876685934489402,-1.0584246937633903,-0.8333333333333334,0.0
-1.0,-3.0,2,-1.5714285714285714,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.6,0.0,-0.4716643069251106,-0.19302504816955685,-1.0584246937633903,-0.8333333333333334,0.0
-0.5,-1.0,1,-0.42857142857142855,-1.0,-1.0,0.1111111111111111,0.0,0.0,0.0,0.0,-195.1,-0.7857142857142857,-1.0,-0.7857142857142857,-1.0,0.0,0.0,-0.4310182806881257,-0.16177263969171485,-1.0584246937633903,-0.8333333333333334,0.0
-1.125,0.0,4,0.14285714285714285,0.75,0.75,0.0,0.0,0.0,0.0,0.0,-197.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,0.0,0.0,0.002003853564547206,-1.0584246937633903,-0.8333333333333334,0.0
1.125,1.0,7,0.7142857142857143,1.5,1.5,-0.3333333333333333,-1.0,0.0,0.0,0.0,49.0,-0.7857142857142857,-1.0,-0.7857142857142857,-1.0,0.6666666666666666,65.0,-0.43603012116124346,-0.16177263969171485,-1.0584246937633903,-0.6666666666666666,-0.5
